12859,ipv4,80.249.208.35
12859,ipv6,2001:7f8:1::a501:2859:1
17451,ipv4,80.249.210.131
17451,ipv6,2001:7f8:1::a501:7451:1
35156,ipv4,80.249.210.232
201290,ipv4,80.249.213.100
201290,ipv6,2001:7f8:1:0:a500:20:1290:1
39122,ipv4,80.249.211.186
39122,ipv6,2001:7f8:1::a503:9122:1
50304,ipv4,80.249.208.44
50304,ipv6,2001:7f8:1::a505:304:1
57976,ipv4,80.249.208.83
57976,ipv6,2001:7f8:1::a505:7976:1
56583,ipv4,80.249.210.174
20886,ipv4,80.249.210.203
20886,ipv6,2001:7f8:1::a502:886:1
33796,ipv4,80.249.211.130
33796,ipv6,2001:7f8:1::a503:3796:1
43996,ipv4,80.249.210.198
43996,ipv6,2001:7f8:1::a504:3996:1
202196,ipv4,80.249.213.8
202196,ipv6,2001:7f8:1:0:a500:20:2196:1
5410,ipv4,80.249.212.245
29141,ipv4,80.249.211.87
29141,ipv6,2001:7f8:1::a502:9141:1
60868,ipv4,80.249.212.111
60868,ipv6,2001:7f8:1::a506:868:1
5524,ipv4,80.249.209.104
5524,ipv6,2001:7f8:1::a500:5524:1
64525,ipv4,193.105.101.171
64525,ipv4,193.105.101.172
31216,ipv4,80.249.209.124
31216,ipv6,2001:7f8:1::a503:1216:1
5400,ipv4,80.249.208.108
5400,ipv6,2001:7f8:1::a500:5400:1
8866,ipv4,80.249.210.162
8866,ipv6,2001:7f8:1::a500:8866:1
44814,ipv4,80.249.209.32
44814,ipv6,2001:7f8:1::a504:4814:1
15693,ipv4,80.249.212.252
15693,ipv6,2001:7f8:1::a501:5693:1
35432,ipv4,80.249.210.178
35432,ipv6,2001:7f8:1::a503:5432:1
64515,ipv4,193.105.101.131
64515,ipv4,193.105.101.132
30081,ipv4,80.249.212.155
15435,ipv4,80.249.208.149
15435,ipv6,2001:7f8:1::a501:5435:1
15435,ipv4,80.249.209.173
15435,ipv6,2001:7f8:1::a501:5435:2
25596,ipv4,80.249.208.159
25596,ipv6,2001:7f8:1::a502:5596:1
25596,ipv4,80.249.209.169
25596,ipv6,2001:7f8:1::a502:5596:2
55819,ipv4,80.249.212.137
55195,ipv4,80.249.208.136
55195,ipv6,2001:7f8:1::a505:5195:1
63199,ipv4,80.249.212.218
63199,ipv6,2001:7f8:1::a506:3199:1
31220,ipv4,80.249.210.109
12732,ipv4,80.249.209.137
12732,ipv6,2001:7f8:1::a501:2732:1
4651,ipv4,80.249.210.15
4651,ipv6,2001:7f8:1::a500:4651:1
24642,ipv4,80.249.208.248
24642,ipv6,2001:7f8:1::a502:4642:1
30925,ipv4,80.249.209.79
30925,ipv6,2001:7f8:1::a503:925:1
36408,ipv4,80.249.208.191
36408,ipv6,2001:7f8:1::a503:6408:2
36408,ipv4,80.249.210.106
36408,ipv6,2001:7f8:1::a503:6408:1
34177,ipv4,80.249.210.38
34177,ipv6,2001:7f8:1::a503:4177:1
1680,ipv4,80.249.210.84
1680,ipv6,2001:7f8:1::a500:1680:1
23106,ipv4,80.249.213.51
23106,ipv6,2001:7f8:1::a502:3106:1
60890,ipv4,80.249.213.64
60890,ipv6,2001:7f8:1::a506:890:1
199330,ipv4,80.249.213.65
199330,ipv6,2001:7f8:1:0:a500:19:9330:1
3910,ipv4,80.249.212.192
2852,ipv4,80.249.209.106
