1239 10405|mkc-us
13030 8551|lon-gb-thel,lon-gb_linx-juniper
13030 8554|par-fr
13030 8596|fra-de
13030 8607|lon-gb-thel,lon-gb_linx-juniper
13030 8657|mad-es
13030 8674|lon-gb-thel,lon-gb_linx-juniper
13030 8681|lon-gb-thel,lon-gb_linx-juniper
13030 8717|fra-de
13030 8758|glattbrugg-ch
13030 8767|fra-de
13030 8781|lon-gb-thel,lon-gb_linx-juniper
13030 8804|fra-de
13030 8823|fra-de
13030 8839|par-fr
13030 8879|fra-de
13030 8897|lon-gb-thel,lon-gb_linx-juniper
13030 8916|lon-gb-thel
13030 8928|fra-de
13030 8943|lon-gb-thel,lon-gb_linx-juniper
13030 8966|fra-de
13030 9009|par-fr,lon-gb-thel,lon-gb_linx-juniper,amstnl-nl,fra-de
13030 9022|fra-de
13030 9044|bsl-ch
13030 9050|fra-de
13030 9063|fra-de
13030 9108|glattbrugg-ch
13030 9120|cph-dk
13030 9145|fra-de
13030 9153|lon-gb-thel,lon-gb_linx-juniper
13030 9178|vie-at
13030 9246|lax-us
13030 9304|jfk-us-thny
13030 9329|fra-de
13030 9498|lon-gb-thel,lon-gb_linx-juniper,jfk-us-thny
13101 51531|fra-de
13768 196962|yto-ca
13768 199330|lax-us
13768 20940|yvr-ca
13768 21775|yto-ca
13768 23498|yvr-ca
13768 29909|ymq-ca
13768 36483|yto-ca,jfk-us,lon-gb
13768 393676|yvr-ca
13768 394354|yvr-ca
13768 42473|yvr-ca,yto-ca
13768 53612|yto-ca
13768 54527|yvr-ca
13768 54643|yto-ca
13768 61149|yto-ca
16265 6866|amstnl-nl
174 10566|yto-ca
174 11798|yto-ca
174 11845|lon-gb
174 12222|yto-ca
174 12310|buc-ro
174 12337|fra-de
174 12409|par-fr
174 12533|mil-it
174 12942|bru-be
174 12956|fra-de
174 13156|lis-pt
174 13188|iev-ua
174 13243|osl-no
174 13284|mil-it
174 13319|yto-ca
174 13335|dub-ie,yto-ca,fra-de,prg-cz,iev-ua,lon-gb,cph-dk,hel-fi
174 133530|dub-ie
174 134397|sto-se
174 135025|hnknhk-hk
174 14870|dub-ie
174 15389|lon-gb
174 15557|par-fr
174 15583|bru-be
174 15695|fra-de,mil-it
174 15830|dub-ie
174 15895|iev-ua
174 15935|prg-cz
174 16022|ath-gr
174 16024|fra-de
174 16086|sto-se
174 16171|dub-ie
174 16186|osl-no
174 16245|cph-dk
174 16253|sto-se
174 16531|mex-mx
174 17400|lon-gb
174 17557|par-fr
174 1836|zrh-ch
174 1886|zag-hr
174 19117|yto-ca
174 196689|par-fr
174 196724|cph-dk
174 196745|lon-gb
174 196760|bru-be
174 197077|mad-es
174 197113|waw-pl
174 197118|fra-de
174 197913|lon-gb
174 198082|lon-gb
174 198156|waw-pl
174 198213|lju-si
174 198725|prg-cz
174 199270|fra-de
174 199290|mad-es
174 199385|lon-gb
174 199391|amstnl-nl
174 199625|fra-de
174 199783|par-fr
174 199843|amstnl-nl
174 199926|sto-se
174 200165|mad-es
174 200552|lon-gb
174 200623|lon-gb
174 200999|waw-pl
174 201050|bru-be
174 201058|mil-it
174 201127|mil-it
174 201196|fra-de
174 201536|lon-gb
174 201675|par-fr
174 201760|lon-gb
174 201782|lis-pt
174 201896|par-fr
174 2018|lon-gb
174 202042|ath-gr
174 202053|amstnl-nl
174 202521|amstnl-nl
174 202623|lux-lu
174 202861|mad-es
174 202865|mil-it
174 203223|mil-it
174 203544|par-fr
174 203596|par-fr
174 203924|fra-de
174 203964|zag-hr
174 204018|lon-gb
174 20535|fra-de
174 20618|cph-dk
174 206278|fra-de
174 206310|par-fr
174 206497|amstnl-nl
174 206529|ath-gr
174 206652|ath-gr
174 206747|lon-gb
174 206774|osl-no
174 206943|fra-de
174 206988|mil-it
174 207096|lon-gb
174 207223|fra-de
174 20723|prg-cz
174 20836|mil-it
174 20860|lon-gb
174 20915|lon-gb
174 20926|par-fr
174 20940|lis-pt,ath-gr
174 2108|zag-hr
174 2116|osl-no
174 21309|mil-it
174 21775|yto-ca
174 23889|par-fr
174 24592|mad-es
174 24603|fra-de
174 24711|par-fr
174 25122|lon-gb
174 25160|lon-gb
174 25222|amstnl-nl
174 25229|iev-ua
174 25335|lon-gb
174 25376|lon-gb
174 25509|lon-gb
174 25512|prg-cz
174 25689|yto-ca
174 263127|mex-mx
174 265509|mex-mx
174 26558|amstnl-nl
174 26677|yto-ca
174 2686|par-fr
174 28458|mex-mx
174 286|amstnl-nl
174 28768|par-fr
174 29003|lis-pt
174 29049|sof-bg
