13030 5410|fra-de
13030 5413|lon-gb-thel,lon-gb_linx-juniper
13030 5430|fra-de
13030 55081|jfk-us-thny
13030 5568|amstnl-nl
13030 5588|lon-gb-thel,lon-gb_linx-juniper
13030 559|bsl-ch
13030 5603|fra-de
13030 5607|lon-gb-thel
13030 5645|jfk-us-thny
13030 56662|fra-de
13030 56704|lon-gb-thel,lon-gb_linx-juniper
13030 57068|par-fr
13030 57119|par-fr
13030 57633|par-fr
13030 57976|par-fr,lon-gb-thel,lon-gb_linx-juniper,fra-de
13030 58299|bsl-ch
13030 58308|par-fr
13030 58511|lon-gb-thel,lon-gb_linx-juniper
13030 59318|lon-gb-thel,lon-gb_linx-juniper,fra-de
13030 59414|zrh-ch
13030 59469|cph-dk
13030 59689|par-fr
13030 59701|cph-dk
13030 59761|glattbrugg-ch
13030 60169|fra-de
13030 60392|zrh-ch
13030 6079|jfk-us-thny
13030 60804|qls-ch
13030 60890|zrh-ch
13030 61049|lon-gb-thel,lon-gb_linx-juniper
13030 61215|lon-gb-thel,lon-gb_linx-juniper
13030 61232|zrh-ch
13030 61287|glattbrugg-ch
13030 61337|lon-gb-thel,lon-gb_linx-juniper
13030 61955|lon-gb-thel,lon-gb_linx-juniper
13030 62177|bsl-ch
13030 62240|lon-gb,lon-gb_linx-extreme
13030 62320|glattbrugg-ch
13030 62454|fra-de
13030 62567|jfk-us-thny
13030 6327|jfk-us-thny
13030 63949|fra-de,jfk-us-thny
13030 63956|lax-us
13030 6661|par-fr
13030 6663|lon-gb-thel,lon-gb_linx-juniper
13030 6730|gva-ch
13030 6772|bsl-ch
13030 6774|fra-de
13030 6775|fra-de
13030 6776|zrh-ch
13030 6805|dus-de
13030 680|fra-de
13030 6866|fra-de
13030 6894|lon-gb-thel,lon-gb_linx-juniper
13030 6908|lon-gb
13030 6939|lon-gb-thel,lon-gb_linx-juniper,mia-us
13030 7029|jfk-us-thny
13030 714|fra-de,mia-us
13030 7311|jfk-us-thny
13030 7342|lon-gb-thel,lon-gb_linx-juniper
13030 7363|jfk-us-thny
13030 7385|lax-us
13030 7473|lax-us
13030 7575|lax-us
13030 766|mad-es
13030 7713|lon-gb_linx-juniper,lon-gb-thel
13030 7850|lax-us
13030 786|lon-gb-thel,lon-gb_linx-juniper,lon-gb_linx-extreme,lon-gb
13030 7908|mia-us
13030 8075|lon-gb-thel
13030 8100|lax-us,mia-us
13030 8262|fra-de
13030 8271|zrh-ch
13030 8282|lon-gb-thel,lon-gb_linx-juniper
13030 8302|zrh-ch
13030 8304|amstnl-nl
13030 8308|fra-de
13030 8319|fra-de
13030 8330|lon-gb-thel
13030 8359|fra-de
13030 8391|fra-de
13030 8403|fra-de,lon-gb_linx-juniper,lon-gb-thel
13030 8422|fra-de
13030 8426|par-fr
13030 8447|fra-de,vie-at
13030 8455|amstnl-nl
13030 8468|lon-gb-thel,lon-gb_linx-juniper
13030 8469|fra-de
13030 8487|par-fr
13030 8529|amstnl-nl
13030 852|jfk-us-thny
13030 8544|lon-gb-thel,lon-gb_linx-juniper
13030 8551|lon-gb-thel,lon-gb_linx-juniper
13030 8554|par-fr
13030 8560|lon-gb-thel,lon-gb_linx-juniper
13030 8596|fra-de
13030 8607|lon-gb-thel,lon-gb_linx-juniper
13030 8657|mad-es
13030 8674|lon-gb-thel,lon-gb_linx-juniper
